aab,Torricelli
aar,Afro-Asiatic
aba,Sepik
abb,Afro-Asiatic
abd,Niger-Congo
abe,Afro-Asiatic
abh,Afro-Asiatic
abi,Guaicuruan
abk,Northwest Caucasian
abm,Muskogean
abn,Pama-Nyungan
abo,Afro-Asiatic
abu,Abun
abv,Greater West Bomberai
abw,Algic
abz,Northwest Caucasian
ace,Austronesian
acg,Arawakan
ach,Tupian
aci,Mayan
acl,Eastern Sudanic
acm,Hokan
acn,Sino-Tibetan
aco,Keresan
acu,Jivaroan
ada,other
adg,Greater West Bomberai
adi,Niger-Congo
adk,Andoke
adn,Pama-Nyungan
adt,Northwest Caucasian
ady,Northwest Caucasian
adz,Austronesian
aea,Eskimo-Aleut
aeg,Afro-Asiatic
ael,Afro-Asiatic
afr,Indo-European
aga,Trans-New Guinea
agb,Niger-Congo
agc,Austronesian
agd,Austronesian
agh,Niger-Congo
agl,Nakh-Daghestanian
agm,Sino-Tibetan
ago,other
agr,Jivaroan
agt,Pama-Nyungan
agu,Mayan
agw,Afro-Asiatic
aho,Algic
ahs,Afro-Asiatic
aht,Na-Dene
ahu,Trans-New Guinea
aik,Aikaná
ain,Ainu
aiz,Niger-Congo
aja,Central Sudanic
ajg,Niger-Congo
aji,Austronesian
aka,Niger-Congo
akb,Great Andamanese
akc,Great Andamanese
akh,Sino-Tibetan
akk,Great Andamanese
akl,Austronesian
akm,Sino-Tibetan
akn,Niger-Congo
ako,Afro-Asiatic
akr,Caddoan
akw,Cariban
ala,Sepik
alb,Indo-European
alc,Huarpe
ald,Niger-Congo
ale,Eskimo-Aleut
alg,Algic
alk,Austronesian
all,Austronesian
aln,Austronesian
als,Oregon Coast
alt,Indo-European
alu,Chukotko-Kamchatkan
alw,Mangarrayi-Maran
alx,Austronesian
aly,Pama-Nyungan
ama,Austronesian
amb,Sepik
amc,Pano-Tacanan
amd,Sino-Tibetan
ame,Trans-New Guinea
amh,Afro-Asiatic
ami,Austronesian
amk,Harakmbet
aml,Austronesian
amm,Left May
amn,Border
amo,Niger-Congo
amp,Pama-Nyungan
amq,Austronesian
amr,Afro-Asiatic
ams,Afro-Asiatic
amt,Sino-Tibetan
amu,Arawakan
amx,Trans-New Guinea
amz,Oto-Manguean
ana,Pano-Tacanan
anc,Afro-Asiatic
ane,Anêm
ang,Senagi
ani,Khoe-Kwadi
anj,Austronesian
anl,Afro-Asiatic
ann,Gunwinyguan
ano,Sino-Tibetan
ant,Trans-New Guinea
anu,Niger-Congo
anx,Nakh-Daghestanian
any,Eastern Sudanic
ao,Sino-Tibetan
aoj,Torricelli
apa,Afro-Asiatic
apc,Na-Dene
ape,Trans-New Guinea
api,Macro-Ge
apj,Na-Dene
apk,Great Andamanese
apl,Cariban
apt,Sino-Tibetan
apu,Arawakan
apw,Na-Dene
ara,Arawakan
arb,Zaparoan
arc,Nakh-Daghestanian
ard,South Bird's Head
arg,Afro-Asiatic
arh,Afro-Asiatic
ari,Austronesian
arj,Afro-Asiatic
ark,Austronesian
arl,Afro-Asiatic
arm,Indo-European
arn,Afro-Asiatic
aro,Austronesian
arp,Torricelli
arq,Afro-Asiatic
arr,Pama-Nyungan
ars,Afro-Asiatic
arv,Afro-Asiatic
arw,Indo-European
arx,Austronesian
arz,Indo-European
ash,Northwest Caucasian
asl,other
asm,Asmat-Kamrau Bay
aso,Altaic
ass,Indo-European
ast,Indo-European
asu,Tupian
asy,Afro-Asiatic
ata,Austronesian
atb,Austronesian
atc,Austronesian
ath,Sino-Tibetan
ati,Algic
atk,Atakapa
atm,Kunza
atq,Eskimo-Aleut
ats,Hokan
atu,Afro-Asiatic
au,Torricelli
aul,Austronesian
aus,other
auy,Trans-New Guinea
ava,Nakh-Daghestanian
avk,Niger-Congo
avo,Central Sudanic
avt,Niger-Congo
awa,Trans-New Guinea
awd,Indo-European
awe,Pama-Nyungan
awi,Kamula-Elevala
awk,Niger-Congo
awn,Afro-Asiatic
awp,Barbacoan
awt,Sepik
awy,Border
axv,Nakh-Daghestanian
ayi,Niger-Congo
aym,Aymaran
ayn,Altaic
ayo,Jirajaran
ayr,Zamucoan
ayw,Austronesian
aze,Altaic
azi,Altaic
baa,Trans-New Guinea
bab,Niger-Congo
bac,Wandjiginy
bad,Afro-Asiatic
bae,Arawakan
baf,Niger-Congo
bag,Central Sudanic
bah,Arawakan
bai,Sino-Tibetan
baj,Austronesian
bak,Niger-Congo
bal,Austronesian
bam,Mande
